Folder,Status,PDFs Found,PDFs Copied
BYY2A5L9,processed,1,1
BSEM4ABG,processed,1,1
BZIMDH8S,no_pdfs,0,0
BZ2JNBXY,no_pdfs,0,0
BTZ8SMCA,processed,1,1
BSPBYR2N,processed,1,1
BYDY5PDN,processed,1,1
BXM4LJSG,processed,1,1
C2ZP76RX,processed,1,1
C3RWT83V,processed,1,1
C34ERXZZ,processed,1,1
C53GT8H5,processed,1,1
C5ZDXQUH,no_pdfs,0,0
C25S4EED,processed,1,1
C5HHETW5,processed,1,1
C6VTSXZG,no_pdfs,0,0
C652UPFM,processed,1,1
C5M6E292,processed,1,1
C3ABP57Z,processed,1,1
C63GNBVF,processed,1,1
C7G9I4YH,processed,1,1
C8G6FRQP,no_pdfs,0,0
C782SXDY,processed,1,1
C59E8SLP,processed,1,1
C94GCX9R,processed,1,1
C9BAAHMP,no_pdfs,0,0
CAU4B87J,processed,1,1
CBGJWXY6,processed,1,1
CAEM9QZK,processed,1,1
CAALV8RT,processed,1,1
CCUEUAXG,no_pdfs,0,0
C8HIRAUT,processed,1,1
CBXJHX4Z,processed,1,1
CBJC678L,processed,1,1
CDABQVIF,processed,1,1
CDETI9EZ,processed,1,1
C89AC5GT,processed,1,1
CETPM3CF,processed,1,1
CETXWLIN,processed,1,1
CFUKEKLY,no_pdfs,0,0
CD3C5ZY3,processed,1,1
CAP7DXBB,processed,1,1
CHFSA6HE,no_pdfs,0,0
CFEPBU45,processed,1,1
CH76IXCV,processed,1,1
CHPFAHJH,processed,1,1
CDL399F3,processed,1,1
CEXSATP6,processed,1,1
CHYZIQIL,processed,1,1
CJX6B63U,processed,1,1
CKNKN5YR,no_pdfs,0,0
CKW2SHGP,processed,1,1
CKWUX9HX,no_pdfs,0,0
CI54J547,processed,1,1
CJ4ZIA5V,processed,1,1
CLRZEYSI,no_pdfs,0,0
CMTN679D,processed,1,1
CN7TKN8U,processed,1,1
CKHP6N6U,processed,1,1
CL7VHL9R,processed,1,1
CLAJNLMJ,processed,1,1
CPSDP997,no_pdfs,0,0
CPHF5S3V,no_pdfs,0,0
CQTDPJ6V,no_pdfs,0,0
CQL5L567,processed,1,1
CRLHWB8H,no_pdfs,0,0
CJSBCHWI,processed,1,1
CJE2B5VQ,processed,1,1
CNILEZ9T,processed,1,1
CRDD64Z8,processed,1,1
CRS45FBY,processed,1,1
CS5GTSJR,processed,1,1
CSLTLU6V,no_pdfs,0,0
CTK829MU,no_pdfs,0,0
CNR3MCKX,processed,1,1
CSFVM7B4,processed,1,1
CUGVVDYR,processed,1,1
CVDSC3YD,no_pdfs,0,0
CU7ZAE3D,processed,1,1
CY3XUN7V,no_pdfs,0,0
CS8PITWF,processed,1,1
CWVIICKA,processed,1,1
CUZM9AH4,processed,1,1
CYDRC4W7,no_pdfs,0,0
